Sr No.,College Names,Cutoff
1,"College of Pharmacy ,Medha",29.45
2,"MVP Samaj college of pharmacy , Nashik",27.43
3,"Bharati Vidyapeeth college of pharmacy , Kolhapur",25.19
4,"Rajarambapu college of pharmacy, Kasegaon",24.17
5,"College of Pharmacy ,Vadgaon",23.87
6,"Poona college of Pharmacy , Pune",22.47
7,"JBSPM Institute college of pharmacy, Aurangabad",21.78
8,"Dr. R. G. Bhoyar Institute of Pharmacy , Beed",19.56
9,"College of Pharmacy , Paniv",16.78
10,"Yashwantrao chavan college of pharmacy, Ahmednagar",15.69
